venue,date,what,genre,sponsor,department,audience_count,days_committed,av_staff,pac_staff,support_level,audio_needs,stage_needs,lighting_needs,projection,video_recording,live_stream,poster,program,reception,term,livestream,department_type,event_type,year,term_category
Concert Hall,2015-05-16,GUEST: Martha Jamsa Flute Recital,Chamber Group,Faculty: Mark Krusemeyer,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2015-05-17,SPCO Concert,Chamber Orchestra,SPCO & Redleaf Family Chair & HRK Family,MUSC & SPCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,Collab,Guest,2014-2015,Spring
Concert Hall,2015-05-22,GUEST: Haydn Orchestra & Carleton Singers,Orchestra + Choir,Concert Series,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S15,NA,MUSC,Guest,2014-2015,Spring
Concert Hall,2016-01-15,GUEST: Greenman & Carleto World Music Chamber Ensemble,Violin and Pipa Duo,Faculty: Gao Hong,MUSC,137,NA,NA,NA,M,M,M,NA,N,Y,NA,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Concert Hall,2016-01-29,GUEST: Mark Kreitzer Band,Blugrass Quartet,Faculty: Mark Kreitzer,MUSC,83,NA,NA,NA,L,L,L,NA,N,Y,NA,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Concert Hall,2016-01-30,GUEST: Christopher Light Lectureship,NA,Light Lectureship,MUSC,116,NA,NA,NA,M,M,M,NA,N,N,NA,NA,N,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Great Hall,2016-02-26,GUEST: Niramala of Friends,South Indian Quartet,Laudie D. Porter Performing and Creative Artists,MUSC,139,NA,NA,NA,H,M,H,NA,NA,N,NA,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Concert Hall,2016-04-08,GUEST: Light Lectureship w/ Dan Trueman,Percussion Solo,Light Lectureship,MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-05-08,Voyage of the Seasons,Voice + Piano Duo,Faculty: Roderick Phipps-Kettlewell,MUSC,18,NA,NA,NA,L,L,L,NA,N,N,NA,NA,Y,Y,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-05-22,GUEST: Burnett & Campbell,NA,NA,MUSC,105,NA,NA,NA,L,L,L,NA,NA,NA,NA,NA,Y,NA,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-09-16,GUEST: Mobius Percussion,Composition,Light Lectureship,MUSC,101,NA,NA,NA,M,H,L,NA,N,Y,NA,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-09-30,GUEST: Duo Mistral,Piano Duo,Concert Series,MUSC,62,NA,NA,NA,L,L,L,NA,N,L,NA,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-10-14,Arts + Culture Fest,NA,NA,MUSC,350,NA,NA,NA,NA,L,NA,NA,NA,Y,NA,NA,NA,NA,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-10-16,Woodward Concert Series: Larence Colloquium and Concert,Organ + Voice,Woodward Concert,MUSC,93,NA,NA,NA,L,L,L,NA,N,Y,NA,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Basilica of St. Mary,2016-11-05,"Men's Choir, Bella, Jubilet",Choir + Ballet,NA,MUSC,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2017-01-15,GUEST: Contemporary Voices from Latin America,Violin and Piano Duo,Faculty: Matthew McCright,MUSC,64,NA,NA,NA,L,L,L,NA,N,Y,NA,NA,Y,Y,W17,NA,MUSC,Guest,2016-2017,Winter
Chapel,2017-01-20,SPCO Concert,Chamber Orchestra,SPCO & Redleaf Family Chair & HRK Family,MUSC,388,NA,NA,NA,H,L,H,NA,N,N,NA,NA,Y,N,W17,NA,MUSC,Guest,2016-2017,Winter
Concert Hall,2017-02-01,GUEST: Beijing Bamboo Orchestra,Chinese Music Ensemble,NA,MUSC,NA,NA,NA,NA,L,L,L,NA,Y,Y,NA,NA,N,N,W17,NA,MUSC,Guest,2016-2017,Winter
Weitz Cinema,2017-02-09,Laudie Porter Concert Series: Montage - Gloria Cheng,Piano Solo,Laudie D. Porter Performing and Creative Artists,MUSC,NA,NA,NA,NA,L,L,L,NA,Y,N,NA,NA,Y,Y,W17,NA,MUSC,Guest,2016-2017,Winter
Concert Hall,2017-04-28,GUEST: Malcol Bilson,Keyboard Solo,Concert Series,MUSC,102,NA,NA,NA,L,L,L,NA,N,N,NA,NA,Y,Y,S17,NA,MUSC,Guest,2016-2017,Spring
Kracum,2017-10-13,GUEST: MONK! - Laura Caviani,Voice + Jazz Trio,Laudie D. Porter Performing and Creative Artists,MUSC,NA,NA,NA,NA,M,M,M,L,N,N,NA,NA,Y,Y,F17,NA,MUSC,Guest,2017-2018,Fall
Kracum,2017-10-25,"GUEST: Still, Amber Mackey",NA,NA,MUSC,NA,NA,NA,NA,H,L,H,L,N,N,NA,NA,Y,NA,F17,NA,MUSC,Guest,2017-2018,Fall
Kracum,2018-02-09,GUEST: Anna Meredith Concert,Composition,Light Lectureship,MUSC,160,NA,NA,NA,M,M,M,L,Y,N,NA,NA,N,Y,W18,NA,MUSC,Guest,2017-2018,Winter
Kracum,2018-04-07,GUEST: The Singers Concert,Choir,Concert Series,MUSC,190,NA,NA,NA,M,L,M,L,N,Y,NA,NA,N,N,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-02-22,GUEST: Music for Two Pianos,Piano Duo,Faculty: Nicola Melville,MUSC,78,NA,NA,NA,L,L,L,L,N,Y,NA,NA,Y,N,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-04-28,GUEST: Issam Rafea Concert,Oud and Pipa Duo,Faculty: Gao Hong,MUSC,116,NA,NA,NA,L,L,L,L,N,Y,NA,NA,N,Y,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-05-02,GUEST: SPCO Concert,Chamber Orchestra,SPCO & Redleaf Family Chair & HRK Family,MUSC,374,NA,NA,NA,H,L,H,H,N,N,NA,NA,Y,Y,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-05-09,GUEST: Jonathan Kreisberg Trio,Guitar + Bass + Drums TIo,Concert Series,MUSC,90,NA,NA,NA,L,L,L,L,N,Y,NA,NA,Y,N,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-05-15,GUEST: Bhairav Se Bhairavi Tak,Indian Classical Music Duo,Concert Series,MUSC,90,NA,NA,NA,M,M,M,L,N,N,NA,NA,N,Y,S18,NA,MUSC,Guest,2017-2018,Spring
Kracum,2018-11-02,GUEST: New Zealand String Quartet,String Quartet + Piano,Concert Series,MUSC,214,NA,NA,NA,L,L,L,L,N,N,NA,NA,Y,Y,F18,NA,MUSC,Guest,2018-2019,Fall
Kracum,2019-02-01,GUEST: Cipher,Voice + Violin Duo,Laudie D. Porter Performing and Creative Artists,MUSC,78,NA,1,2,L,L,L,L,N,Y,NA,NA,N,N,W19,NA,MUSC,Guest,2018-2019,Winter
Kracum,2019-02-26,Choir Concert & GUEST: Newcomer,Choir + Guitar + Piano,Concert Series,MUSC,225,NA,1,2,M,M,M,L,N,Y,NA,NA,Y,N,W19,NA,MUSC,Guest,2018-2019,Winter
Kracum,2019-03-02,SPCO,Chamber Orchestra,SPCO & Redleaf Family Chair & HRK Family,MUSC & SPCO,351,NA,1,7,M,L,H,L,N,N,NA,NA,Y,N,W19,NA,Collab,Guest,2018-2019,Winter
Kracum,2019-03-23,GUEST: Macalester Choir Concert,Choir,NA,MUSC,24,NA,1,2,M,L,M,L,N,N,NA,NA,N,N,S19,NA,MUSC,Guest,2018-2019,Spring
Kracum,2019-04-06,GUEST: Minnesota Dance Theater,Dance,Concert Series,MUSC,396,NA,1,5,H,L,H,H,Y,Y,NA,NA,Y,N,S19,NA,MUSC,Guest,2018-2019,Spring
Kracum,2019-04-12,Light Lectureship: Caroline Shaw,Composition + String Quartet,Light Lectureship,MUSC,145,NA,1,5,M,M,M,L,N,N,NA,NA,Y,N,S19,NA,MUSC,Guest,2018-2019,Spring
Kracum,2019-05-11,GUEST: Yair Dalal and Dror Sinai,Middle Eastern Music Duo,ODOA,MUSC,95,NA,1,1,M,M,L,L,N,Y,NA,NA,N,N,S19,NA,MUSC,Guest,2018-2019,Spring
Kracum,2019-09-27,GUEST: William Chapman Nyaho Concert,African Piano Solo,ODOA,MUSC,76,NA,1,3,L,L,L,L,N,N,NA,NA,Y,N,F19,NA,MUSC,Guest,2019-2020,Fall
Applebaum,2019-10-11,Light Lectureship: Michael Mizrahi,Piano Solo,Light Lectureship,MUSC,57,NA,2,3,L,L,L,L,N,N,NA,NA,Y,N,F19,NA,MUSC,Guest,2019-2020,Fall
Kracum,2019-10-25,GUEST: Atlantis Quartet,Jazz Quartet,Concert Series,MUSC,80,NA,2,2,M,M,L,L,N,Y,NA,NA,N,N,F19,NA,MUSC,Guest,2019-2020,Fall
Kracum,2019-10-31,SPCO Concert,Chamber Orchestra,SPCO & Redleaf Family Chair & HRK Family,MUSC & SPCO,400,NA,1,7,H,L,H,L,N,N,NA,NA,N,N,F19,NA,Collab,Guest,2019-2020,Fall
Applebaum,2019-11-11,GUEST: Pete McCann Quartet,Jazz Quartet,Concert Series,MUSC,40,NA,1,2,M,M,M,L,N,Y,NA,NA,Y,N,F19,NA,MUSC,Guest,2019-2020,Fall
Applebaum,2020-02-20,GUEST: Folk Music Society,Folk Music Solo,BIll Staines,MUSC,86,NA,1,1,L,L,L,L,N,Y,NA,NA,N,Y,W20,NA,MUSC,Guest,2019-2020,Winter
Kracum,2021-10-15,GUEST: Randall Scarlata & Nikki Melville,Voice and Piano Duo,Concert Series,MUSC,120,1,2,3,L,L,L,L,Y,Y,Y,NA,N,N,F21,NA,MUSC,Guest,2021-2022,Fall
Kracum,2021-10-08,GUEST: Issam Rafea & Gao,Oud and Pipa Duo,Faculty: Gao Hong,MUSC,81,1,2,4,L,L,L,L,N,Y,N,NA,N,Y,F21,NA,MUSC,Guest,2021-2022,Fall
Kracum,2022-04-08,GUEST: Alexander Kobrin,Piano Solo,Concert Series,MUSC,250,1,3,6,L,L,L,L,N,Y,N,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-04-22,Light Lectureship: Jason Trueting,Composition + Percussion,Light Lectureship,MUSC,58,1,2,4,M,M,M,M,Y,Y,N,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
