venue,date,what,department,days_committed,av_staff,pac_staff,support_level,audio_needs,stage_needs,lighting_needs,projection,video_recording,live_stream,audience_count,poster,program,reception,term,livestream,department_type,event_type,year,term_category
Concert Hall,2016-01-15,GUEST: Greenman & Carleto World Music Chamber Ensemble,MUSC,NA,NA,NA,M,M,M,NA,N,Y,NA,137,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Concert Hall,2016-01-29,GUEST: Mark Kreitzer Band,MUSC,NA,NA,NA,L,L,L,NA,N,Y,NA,83,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Great Hall,2016-02-26,GUEST: Niramala of Friends,MUSC,NA,NA,NA,H,M,H,NA,NA,N,NA,139,NA,Y,Y,W16,NA,MUSC,Guest,2015-2016,Winter
Concert Hall,2016-05-05,GUEST: Diawara,MUSC,NA,NA,NA,H,H,H,NA,N,N,NA,270,NA,N,Y,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-05-08,Voyage of the Seasons,MUSC,NA,NA,NA,L,L,L,NA,N,N,NA,18,NA,Y,Y,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-05-22,GUEST: Burnett & Campbell,MUSC,NA,NA,NA,L,L,L,NA,NA,NA,NA,105,NA,Y,NA,S16,NA,MUSC,Guest,2015-2016,Spring
Concert Hall,2016-09-16,GUEST: Mobius Percussion,MUSC,NA,NA,NA,M,H,L,NA,N,Y,NA,101,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-09-30,GUEST: Duo Mistral,MUSC,NA,NA,NA,L,L,L,NA,N,L,NA,62,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-10-14,Arts + Culture Fest,MUSC,NA,NA,NA,NA,L,NA,NA,NA,Y,NA,350,NA,NA,NA,F16,NA,MUSC,Guest,2016-2017,Fall
Concert Hall,2016-10-16,Woodward Concert Series: Larence Colloquium and Concert,MUSC,NA,NA,NA,L,L,L,NA,N,Y,NA,93,NA,Y,Y,F16,NA,MUSC,Guest,2016-2017,Fall
Basilica of St. Mary,2016-11-05,"Men's Choir, Bella, Jubilet",MUSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,Y,NA,F16,NA,MUSC,Guest,2016-2017,Fall
